program_id;day;tx_count;success_count;base_fees_sol;priority_fees_sol;total_fees_sol;total_cu
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;2026-03-02;191130;121884;0.95565;0.000128;0.955778;33154397844
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;2026-03-02;8669;8497;0.043345;0.497598;0.540943;249205762
D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;2026-03-02;44634;44634;0.22317;0.22317;0.44634;142737895
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;2026-03-02;20022;18048;0.10011;0.324475;0.424585;3896624848
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;2026-03-02;61048;57329;0.30524;0;0.30524;5431429301
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;2026-03-02;2206;2190;0.01103;0.261525;0.272555;501221293
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;2026-03-02;36704;36698;0.18352;0.022332;0.205852;2895672409
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;2026-03-02;5112;3137;0.02556;0.138997;0.164557;368461800
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;2026-03-02;12906;12797;0.06453;0.089612;0.154142;1101144423
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;2026-03-02;16249;15220;0.081245;0.040529;0.121774;1266581244
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2026-03-02;894;875;0.00447;0.07355;0.07802;68797136
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;2026-03-02;5425;4046;0.027125;0.037855;0.06498;165493929
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;2026-03-02;1539;1361;0.007695;0.046013;0.053708;186823230
RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;2026-03-02;272;203;0.00136;0.049792;0.051152;42263818
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;2026-03-02;3620;3536;0.0181;0.026121;0.044221;304059617
APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;2026-03-02;3378;3373;0.01689;0.025904;0.042794;461152229
FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;2026-03-02;7836;7817;0.03918;0;0.03918;249839571
99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;2026-03-02;5312;5211;0.02656;0.012515;0.039075;113714105
FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;2026-03-02;2265;2212;0.011325;0.023563;0.034888;235483154
