market_condition;program_id;tx_count;success_count;total_fees_sol;total_cu;avg_fee_per_cu_lamports;median_fee_per_cu_lamports;days_observed
extreme;RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;2747;2355;0.4027;547334451;0.7106;0.7267;3
extreme;dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;47831;45387;0.3852;4038647811;0.0362;0.0372;3
extreme;CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;13033;11206;0.3599;436896327;0.6746;0.5867;3
extreme;CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;48146;47070;0.3092;3693637302;0.0185;0.0363;3
extreme;EmTX93xYtDE3h7G5EF2m9VRPE1UT1XBoohpVmEzE4oEU;20636;20633;0.2699;223481973;0.7462;0.76;3
extreme;ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2812;2761;0.2438;214062408;1.0734;1.0743;3
extreme;dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;42191;24766;0.2132;7459175541;0.0003;0.0003;3
extreme;whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;6386;5098;0.1138;350132556;0.2337;0.257;3
extreme;FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;22556;22458;0.1128;701214571;0.0;0.0;3
extreme;Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB;2889;2264;0.1067;304615529;0.3027;0.2714;3
extreme;6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;20717;20717;0.1036;287366998;0.0;0.0;3
extreme;KvauGMspG5k6rtzrqqn7WNn3oZdyKqLKwK2XWQ8FLjd;6508;6508;0.0895;1451816488;0.0393;0.0408;3
extreme;MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms;14524;11853;0.0772;325958351;0.0142;0.0215;3
extreme;99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;8181;6765;0.0498;142160869;0.0629;0.0673;3
extreme;wMNFSTkir3HgyZTsB7uqu3i7FA73grFCptPXgrZjksL;9123;9106;0.0489;621259867;0.0053;0.0028;3
extreme;PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu;6444;6425;0.0447;966556438;0.013;0.003;3
extreme;DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH;3517;2945;0.0396;709752650;0.031;0.0315;3
extreme;HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq;1944;1659;0.0368;148398123;0.1825;0.5949;3
extreme;APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;2682;2505;0.0349;322792782;0.0666;0.0705;3
extreme;zapvX9M3uf5pvy4wRPAbQgdQsM1xmuiFnkfHKPvwMiz;3265;3265;0.0348;1365743436;0.0135;0.0145;3
extreme;jup3YeL8QhtSx1e253b2FDvsMNC87fDrgQZivbrndc9;6656;6545;0.0339;581709247;0.001;0.0;3
extreme;D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;999;999;0.0237;73364694;0.2544;0.2556;3
extreme;EtrnLzgbS7nMMy5fbD42kXiUzGg8XQzJ972Xtk1cjWih;3835;3582;0.0192;147998015;0.0;0.0;3
extreme;fUSioN9YKKSa3CUC2YUc4tPkHJ5Y6XW1yz8y6F7qWz9;1705;1573;0.0151;86602112;0.0758;0.0758;1
extreme;T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT;121;67;0.0138;18862095;0.6982;0.4608;3
